UID         PID   PPID  C STIME TTY          TIME CMD
Thing      1895      1  0 15:38 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
Thing      1906   1882  0 15:38 ?        00:00:00 /usr/libexec/gnome-session-binary --session gnome-classic
Thing      1917      1  0 15:38 ?        00:00:00 dbus-launch --sh-syntax --exit-with-session
Thing      1918      1  0 15:38 ?        00:00:01 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
Thing      1945      1  0 15:38 ?        00:00:00 /usr/libexec/imsettings-daemon
Thing      1949      1  0 15:38 ?        00:00:00 /usr/libexec/gvfsd
Thing      1954      1  0 15:38 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
Thing      2036   1906  0 15:38 ?        00:00:00 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
Thing      2054      1  0 15:38 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
Thing      2059   2054  0 15:38 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
Thing      2065      1  0 15:38 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
Thing      2091   1906  1 15:38 ?        00:04:37 /usr/bin/gnome-shell
Thing      2101      1  0 15:38 ?        00:00:12 /usr/bin/pulseaudio --start --log-target=syslog
Thing      2116   2091  0 15:38 ?        00:00:00 ibus-daemon --xim --panel disable
Thing      2120   2116  0 15:38 ?        00:00:00 /usr/libexec/ibus-dconf
Thing      2124      1  0 15:38 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
Thing      2127      1  0 15:38 ?        00:00:00 /usr/libexec/ibus-portal
Thing      2137      1  0 15:38 ?        00:00:00 /usr/libexec/xdg-permission-store
Thing      2138      1  0 15:38 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
geoclue    2148      1  0 15:38 ?        00:00:00 /usr/libexec/geoclue -t 5
Thing      2149      1  0 15:38 ?        00:00:00 /usr/libexec/evolution-source-registry
Thing      2152      1  0 15:38 ?        00:00:00 /usr/libexec/dconf-service
Thing      2168      1  0 15:38 ?        00:00:01 /usr/libexec/goa-daemon
Thing      2170      1  0 15:38 ?        00:00:00 /usr/libexec/mission-control-5
Thing      2173      1  0 15:38 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
Thing      2177      1  0 15:38 ?        00:00:00 /usr/libexec/gvfsd-metadata
Thing      2189      1  0 15:38 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
Thing      2196      1  0 15:38 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
Thing      2207      1  0 15:38 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
Thing      2215      1  0 15:38 ?        00:00:00 /usr/libexec/goa-identity-service
Thing      2223      1  0 15:38 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
Thing      2258   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-power
Thing      2261   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-print-notifications
Thing      2262   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-rfkill
Thing      2264   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
Thing      2268   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-sharing
Thing      2274   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-smartcard
Thing      2278   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-sound
Thing      2282   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-xsettings
Thing      2284   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-wacom
Thing      2288   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-account
Thing      2289   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-a11y-settings
Thing      2293   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-clipboard
Thing      2299   1906  0 15:38 ?        00:00:02 /usr/libexec/gsd-color
Thing      2300   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-datetime
Thing      2302   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-housekeeping
Thing      2303   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-keyboard
Thing      2304   1906  0 15:38 ?        00:00:01 /usr/libexec/gsd-media-keys
Thing      2307   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-mouse
Thing      2340      1  0 15:38 ?        00:00:00 /usr/libexec/gsd-printer
Thing      2375   1906  0 15:38 ?        00:00:01 nautilus-desktop --force
Thing      2389   1949  0 15:38 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
Thing      2406   1906  0 15:38 ?        00:00:02 /usr/bin/gnome-software --gapplication-service
Thing      2409   1906  0 15:38 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
Thing      2414   1906  0 15:38 ?        00:00:00 /usr/bin/seapplet
Thing      2417   1906  0 15:38 ?        00:00:00 /usr/libexec/tracker-extract
Thing      2419   1906  0 15:38 ?        00:00:00 /usr/libexec/tracker-miner-fs
Thing      2423   1906  0 15:38 ?        00:00:00 /usr/libexec/tracker-miner-apps
Thing      2429   1906  0 15:38 ?        00:00:00 /usr/libexec/tracker-miner-user-guides
Thing      2440      1  0 15:38 ?        00:00:00 /usr/libexec/tracker-store
Thing      2442   1906  0 15:38 ?        00:00:00 abrt-applet
Thing      2450      1  0 15:38 ?        00:00:19 /usr/bin/vmtoolsd -n vmusr
Thing      2490   1949  0 15:38 ?        00:00:00 /usr/libexec/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
root       2502      1  0 15:39 ?        00:00:00 /usr/libexec/fwupd/fwupd
Thing      2551      1  0 15:39 ?        00:00:00 /usr/libexec/evolution-calendar-factory
Thing      2558   2551  0 15:39 ?        00:00:01 /usr/libexec/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2551x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2551/2
Thing      2579      1  0 15:39 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
Thing      2598   2579  0 15:39 ?        00:00:00 /usr/libexec/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2579x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2579/2
Thing      2638   2116  0 15:39 ?        00:00:00 /usr/libexec/ibus-engine-simple
Thing      2716      1  0 15:39 ?        00:00:10 /usr/bin/nautilus --gapplication-service
Thing      2964   1949  0 15:45 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.4 /org/gtk/gvfs/exec_spaw/2
Thing      6575      1  0 18:51 ?        00:00:05 /usr/bin/gedit --gapplication-service
root       8139      2  0 20:34 ?        00:00:00 [kworker/u256:1]
postfix    8651   1422  0 20:42 ?        00:00:00 pickup -l -t unix -u
root       8762      2  0 20:50 ?        00:00:00 [kworker/u256:2]
root       8959      1  0 21:01 ?        00:00:00 /usr/sbin/anacron -s
root       9179      2  0 21:06 ?        00:00:00 [kworker/0:1]
root       9248      2  0 21:10 ?        00:00:00 [kworker/0:3]
root       9329      2  0 21:15 ?        00:00:00 [kworker/0:0]
Thing      9361      1  0 21:16 ?        00:00:00 /usr/libexec/gnome-terminal-server
Thing      9368   9361  0 21:16 ?        00:00:00 gnome-pty-helper
Thing      9369   9361  0 21:16 pts/0    00:00:00 bash
root       9438      2  0 21:18 ?        00:00:00 [kworker/0:2]
root       9468    770  0 21:20 ?        00:00:00 sleep 60
Thing      9478   9369  0 21:20 pts/0    00:00:00 /bin/bash ./i
Thing      9479   9478  0 21:20 pts/0    00:00:00 ps -ef
UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 15:33 ?        00:00:03 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2      0  0 15:33 ?        00:00:00 [kthreadd]
root          4      2  0 15:33 ?        00:00:00 [kworker/0:0H]
root          6      2  0 15:33 ?        00:00:00 [ksoftirqd/0]
root          7      2  0 15:33 ?        00:00:00 [migration/0]
root          8      2  0 15:33 ?        00:00:00 [rcu_bh]
root          9      2  0 15:33 ?        00:00:01 [rcu_sched]
root         10      2  0 15:33 ?        00:00:00 [lru-add-drain]
root         11      2  0 15:33 ?        00:00:00 [watchdog/0]
root         13      2  0 15:33 ?        00:00:00 [kdevtmpfs]
root         14      2  0 15:33 ?        00:00:00 [netns]
root         15      2  0 15:33 ?        00:00:00 [khungtaskd]
root         16      2  0 15:33 ?        00:00:00 [writeback]
root         17      2  0 15:33 ?        00:00:00 [kintegrityd]
root         18      2  0 15:33 ?        00:00:00 [bioset]
